median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,medianhousevalue
5.3733,8,3567.0,543.0,1133.0,419.0,34.5,-117.27,12.620170385023595
2.6827,17,1613.0,326.0,765.0,300.0,34.46,-117.12,11.611874470755124
5.2124,9,1567.0,299.0,675.0,294.0,33.67,-117.81,12.20407565286699
3.5446,19,3273.0,611.0,1164.0,481.0,37.39,-119.59,11.575909653758895
0.9782,41,1633.0,433.0,885.0,413.0,37.98,-121.26,10.900454637442037
3.75,16,2687.0,501.0,1502.0,480.0,32.56,-117.1,11.896833207128452
4.8068,46,1437.0,266.0,607.0,263.0,37.55,-122.32,12.820449849816926
2.2067,24,1629.0,313.0,641.0,274.0,40.08,-120.91,11.150534214035387
2.7243,31,1432.0,348.0,681.0,348.0,37.91,-122.31,12.292713537231938
5.4351,37,1338.0,215.0,535.0,221.0,37.53,-122.3,12.838941550538893
2.6181,24,807.0,174.0,585.0,166.0,37.78,-121.43,12.004574385508691
3.725,21,1872.0,302.0,870.0,301.0,39.16,-121.57,11.346882686945891
3.2778,13,4496.0,756.0,2044.0,695.0,33.81,-117.14,11.910365121788654
5.75,16,630.0,117.0,343.0,100.0,34.42,-119.23,12.691583538230216
7.9217,4,1011.0,198.0,511.0,198.0,33.66,-117.83,12.598793556907369
3.5179,25,1476.0,336.0,777.0,297.0,37.98,-122.01,12.016732516077072
4.8787,23,4183.0,633.0,1886.0,628.0,38.15,-121.29,12.074259775399616
3.0,18,508.0,104.0,393.0,114.0,36.96,-120.16,11.959538914341756
5.1104,26,2483.0,412.0,1538.0,449.0,33.89,-118.06,12.303657509006149
3.1042,7,4966.0,985.0,2431.0,904.0,37.5,-120.87,11.715874472198903
3.267,23,969.0,288.0,670.0,251.0,33.92,-118.33,12.130276325842605
2.7279,34,1508.0,483.0,774.0,443.0,37.39,-122.09,12.80929785378815
4.6315,16,5819.0,986.0,2306.0,914.0,33.92,-117.8,12.533579815765735
2.1955,34,1576.0,364.0,1153.0,381.0,32.62,-117.09,11.772987080375044
3.2818,31,6348.0,1827.0,2559.0,1755.0,34.09,-118.37,12.323860125621126
2.2559,24,5684.0,1485.0,6626.0,1481.0,34.07,-118.01,12.02455676409265
5.1602,16,1755.0,410.0,674.0,410.0,37.34,-122.03,12.351042741030522
2.913,31,1090.0,251.0,955.0,239.0,34.04,-118.33,12.167856627501678
4.2059,28,2718.0,542.0,1066.0,442.0,34.43,-119.59,13.122367377396328
3.2123,17,3507.0,696.0,1867.0,709.0,38.14,-121.3,11.701071692055445
3.5893,25,1252.0,207.0,587.0,217.0,38.68,-121.32,11.894104711087111
1.8047,29,2896.0,596.0,1809.0,617.0,39.48,-121.54,10.893047333337728
3.4306,34,1715.0,290.0,780.0,297.0,36.22,-119.09,11.21587968956548
5.4482,20,563.0,107.0,246.0,123.0,37.95,-122.05,12.158986279072735
2.4914,30,1572.0,427.0,1857.0,428.0,34.08,-118.05,11.977922833779727
3.5161,45,1767.0,417.0,1052.0,379.0,34.04,-118.36,11.964007453736912
3.3125,42,1028.0,278.0,1369.0,261.0,33.94,-118.35,11.88173350431221
4.3194,34,1599.0,294.0,819.0,306.0,34.22,-118.56,12.190964083849376
5.9289,5,10394.0,1617.0,4496.0,1553.0,33.07,-117.2,12.927080585530902
5.0864,16,952.0,143.0,530.0,143.0,32.73,-116.98,12.074259775399616
4.2383,18,2143.0,299.0,828.0,283.0,33.17,-117.32,12.384223015005311
7.1576,52,1500.0,176.0,384.0,145.0,34.08,-118.45,13.122367377396328
2.85,38,1481.0,317.0,1080.0,291.0,32.68,-117.06,11.74245657234248
3.2879,32,3616.0,631.0,2131.0,593.0,34.09,-117.36,11.466891997618188
4.2214,14,5548.0,941.0,2815.0,935.0,35.4,-118.94,11.557908390796706
4.337,26,3135.0,524.0,1385.0,523.0,37.37,-118.45,11.847259703415569
4.8542,36,847.0,185.0,713.0,194.0,33.92,-118.09,12.02814741073532
3.1458,42,943.0,171.0,466.0,203.0,33.94,-117.4,11.661354090741
6.1815,25,3240.0,481.0,1462.0,497.0,33.48,-117.69,12.57245383112879
3.6969,35,622.0,170.0,278.0,139.0,34.39,-119.59,12.721888795877376
3.9583,35,689.0,128.0,379.0,128.0,34.08,-117.93,12.235636302128867
2.2461,35,972.0,270.0,550.0,256.0,34.18,-118.44,12.278397958261774
2.9076,24,2718.0,719.0,3018.0,644.0,34.24,-118.53,12.525620323525118
2.234,32,2089.0,468.0,1765.0,427.0,36.87,-120.13,11.03005541721757
2.5562,27,1572.0,450.0,1039.0,455.0,34.2,-118.45,12.157412722878949
1.8533,15,3643.0,801.0,1784.0,743.0,41.72,-122.65,10.959557617938565
3.6477,15,1717.0,336.0,501.0,206.0,40.3,-121.09,11.63868548857906
3.0827,29,4964.0,1056.0,2773.0,1036.0,36.7,-121.65,11.905649752427555
2.2188,52,1438.0,472.0,1018.0,399.0,33.74,-118.29,12.633628610612188
2.8456,40,1797.0,401.0,756.0,369.0,37.98,-122.02,12.016732516077072
1.9038,39,967.0,256.0,903.0,256.0,33.91,-118.26,11.441440204346032
6.1287,4,22128.0,3522.0,10450.0,3258.0,34.01,-117.75,12.57625939252641
5.0049,25,1637.0,394.0,649.0,379.0,37.79,-122.43,13.03898394237596
3.8333,48,1186.0,213.0,487.0,207.0,37.74,-122.49,12.739054008205294
1.7083,11,686.0,127.0,246.0,86.0,38.95,-122.63,11.255462171102444
2.0486,42,763.0,191.0,754.0,174.0,33.93,-118.25,11.530775206233024
2.3236,21,3245.0,959.0,3528.0,887.0,34.07,-118.02,11.959538914341756
3.9036,11,2339.0,436.0,1062.0,380.0,38.66,-120.96,12.105152257898368
1.0938,20,78.0,72.0,120.0,69.0,37.37,-121.9,12.141539457711714
4.4231,16,744.0,141.0,311.0,122.0,37.88,-120.41,11.37940550085183
6.2425,52,2551.0,417.0,894.0,404.0,37.88,-122.26,12.878509336811934
4.8036,36,2049.0,334.0,1105.0,363.0,33.95,-118.11,12.473428278520132
3.115,23,1250.0,257.0,437.0,188.0,37.9,-122.71,12.399173397495131
4.3317,43,1471.0,301.0,767.0,311.0,33.79,-118.12,12.356219606876625
4.1492,34,1732.0,399.0,1120.0,401.0,34.25,-118.47,12.184343263233146
5.529,36,2507.0,517.0,1232.0,470.0,34.22,-118.24,12.39380039582335
6.5004,16,2411.0,420.0,1671.0,442.0,37.41,-121.86,12.48219187523
4.5724,6,8733.0,1600.0,2006.0,736.0,34.83,-119.15,12.034103319015012
3.0469,40,1883.0,397.0,1411.0,438.0,37.71,-122.4,12.380030154325455
3.4359,21,1718.0,308.0,1194.0,312.0,33.23,-117.24,11.924379271639218
6.0358,32,1555.0,287.0,779.0,284.0,37.25,-121.93,12.468825296104477
2.5268,19,4005.0,972.0,1896.0,893.0,37.94,-122.06,12.370319331596598
5.0787,45,1853.0,328.0,945.0,320.0,33.84,-118.17,12.297744396089389
4.0848,8,4839.0,832.0,1977.0,762.0,39.13,-121.07,11.95697646939348
1.4556,32,3141.0,812.0,2589.0,721.0,33.93,-116.87,10.907807476583594
2.3152,10,974.0,316.0,631.0,286.0,37.97,-122.04,11.853681370708944
1.8798,40,935.0,226.0,818.0,236.0,33.95,-118.27,11.525851561856362
2.5625,45,1839.0,459.0,1312.0,460.0,34.04,-118.35,11.8350162104899
5.5133,37,542.0,105.0,355.0,118.0,33.9,-118.34,12.33403040930302
3.7109,40,1966.0,391.0,1120.0,362.0,34.04,-118.14,12.200059603373044
2.1418,13,3641.0,897.0,1737.0,788.0,37.32,-120.48,11.779902152762991
3.6477,28,5091.0,1074.0,4753.0,1033.0,33.82,-118.26,11.67335070422742
5.5718,20,3494.0,549.0,1673.0,541.0,38.35,-122.32,12.129197000747672
4.9867,7,6352.0,1390.0,3223.0,1316.0,37.51,-122.0,12.110117757946444
3.0398,36,903.0,266.0,1068.0,251.0,33.98,-118.18,12.016128107502665
2.6932,31,1746.0,321.0,1186.0,360.0,36.8,-119.7,11.103467395592086
3.5189,17,3057.0,577.0,1497.0,556.0,40.55,-122.06,11.52288569676448
3.1949,25,2115.0,489.0,1107.0,477.0,34.08,-117.89,12.242409396366712
4.0357,30,1856.0,339.0,1103.0,379.0,32.73,-116.99,11.943414837983129
2.25,24,574.0,173.0,784.0,162.0,33.78,-118.24,11.93361410484988
3.0217,22,1236.0,273.0,615.0,248.0,38.76,-120.6,11.579658451506331
4.2885,16,6958.0,1300.0,2965.0,1217.0,37.25,-121.86,12.47762914702042
1.4937,20,1490.0,318.0,1474.0,326.0,36.61,-119.54,10.909637269778615
3.2037,33,2291.0,594.0,3232.0,589.0,33.73,-117.88,12.004574385508691
2.2321,46,271.0,74.0,150.0,55.0,34.15,-118.09,12.377927112974284
4.5375,34,1550.0,279.0,1011.0,288.0,34.23,-118.42,12.149507585033072
5.6407,39,1295.0,239.0,566.0,242.0,37.47,-122.15,12.695881965792886
2.6198,18,2375.0,652.0,1252.0,586.0,37.53,-121.96,12.371167504471138
5.0,42,1301.0,280.0,539.0,249.0,33.61,-117.89,13.122367377396328
3.1895,45,332.0,70.0,302.0,60.0,34.04,-118.16,11.959538914341756
5.2312,31,1487.0,280.0,854.0,301.0,37.64,-122.11,12.194005125011843
8.1124,52,2742.0,422.0,1153.0,414.0,34.11,-118.14,13.122367377396328
4.5987,32,2828.0,629.0,1313.0,534.0,33.92,-118.4,12.804362293825438
1.5625,36,607.0,155.0,483.0,146.0,36.74,-119.81,10.768506042432708
6.5784,38,1778.0,288.0,870.0,281.0,34.12,-118.02,12.920249641259614
3.1607,28,1643.0,489.0,1142.0,458.0,34.26,-118.3,12.209073139542411
3.135,10,2506.0,623.0,2634.0,622.0,37.32,-121.82,12.351907415253551
3.1979,36,1045.0,239.0,1165.0,230.0,33.93,-118.04,11.994122464057146
4.0972,38,2507.0,446.0,888.0,448.0,38.57,-121.43,12.00579687207606
4.3513,12,9302.0,1603.0,4074.0,1504.0,33.07,-117.14,12.20407565286699
10.8111,22,2898.0,335.0,1057.0,324.0,33.82,-117.81,13.122367377396328
3.5073,42,3146.0,770.0,1859.0,740.0,33.85,-118.32,12.366493625870792
1.8564,37,2781.0,766.0,2586.0,729.0,34.03,-118.3,12.141539457711714
3.3447,21,3235.0,648.0,1820.0,614.0,36.79,-119.84,11.17606715383184
2.1284,27,1839.0,442.0,2010.0,416.0,37.96,-121.34,10.992066340225865
4.9237,4,3376.0,525.0,1684.0,535.0,34.66,-120.47,12.023357011097826
2.0804,34,1060.0,276.0,1215.0,250.0,33.91,-118.23,11.346882686945891
5.0869,23,3351.0,591.0,1535.0,522.0,34.02,-117.8,12.348444223321136
4.5461,16,2819.0,479.0,1068.0,365.0,35.1,-120.3,12.509139512775626
1.448,37,1467.0,348.0,1316.0,339.0,34.06,-117.19,11.195484970354173
2.0161,11,562.0,164.0,504.0,147.0,34.64,-120.46,11.685205103383671
3.2806,45,2213.0,564.0,1920.0,514.0,37.32,-121.88,12.008846566115905
2.7157,25,1295.0,417.0,856.0,342.0,33.77,-117.97,12.765691290604371
2.0699,24,3442.0,1168.0,4625.0,1097.0,34.22,-118.45,12.117246896289505
3.3456,11,4304.0,1245.0,1960.0,1105.0,32.75,-117.23,11.98168457011701
1.375,35,2305.0,634.0,1978.0,568.0,33.97,-118.28,11.51293546492023
3.2545,9,5102.0,1695.0,2609.0,1450.0,34.06,-118.44,13.122367377396328
2.6806,42,1481.0,411.0,1206.0,394.0,34.03,-118.15,12.15109361980364
2.6133,49,2365.0,504.0,1131.0,458.0,38.11,-122.25,11.54346436927906
2.3566,22,3265.0,658.0,1647.0,594.0,39.53,-122.2,11.170449240431308
3.2935,35,1304.0,343.0,822.0,304.0,38.44,-122.7,11.969090024509446
2.2254,11,2451.0,665.0,1155.0,533.0,37.8,-121.23,11.781432363235949
2.125,26,7005.0,1358.0,416.0,189.0,38.19,-120.03,11.794345471549745
4.125,32,2399.0,384.0,1199.0,390.0,34.2,-118.86,12.485978309945343
1.7292,47,1346.0,383.0,1452.0,371.0,34.07,-118.21,12.16369214550422
1.7161,8,2572.0,738.0,1384.0,684.0,38.0,-121.83,11.235866764155578
2.2969,16,1230.0,242.0,380.0,246.0,33.64,-117.72,11.119897691565695
3.875,18,2036.0,414.0,1292.0,380.0,33.85,-117.89,12.51723073716405
2.5101,15,1821.0,516.0,1385.0,439.0,32.75,-117.08,11.464795582766676
1.3631,28,2130.0,484.0,1195.0,439.0,39.1,-121.56,10.725489582719506
3.7875,28,1915.0,419.0,930.0,342.0,38.31,-122.67,12.586906889141511
3.4051,45,6927.0,1258.0,4715.0,1165.0,37.81,-122.47,13.122367377396328
3.1125,29,1179.0,249.0,672.0,243.0,37.57,-120.95,11.949895700065218
3.8125,15,1850.0,441.0,1348.0,403.0,37.95,-121.69,11.73927188163082
2.5,28,927.0,165.0,542.0,148.0,38.69,-121.43,11.474195031610163
3.9167,36,786.0,125.0,408.0,138.0,32.62,-117.06,12.153204427390495
3.3479,30,5267.0,1253.0,4065.0,1113.0,37.64,-122.08,12.112316757188816
3.2841,15,2849.0,537.0,878.0,520.0,33.71,-117.75,11.972253562968543
3.5305,30,2750.0,476.0,1296.0,464.0,40.2,-122.19,11.206413891581189
10.2811,34,2999.0,365.0,927.0,369.0,37.45,-122.25,13.122367377396328
1.3583,10,423.0,110.0,295.0,94.0,37.77,-120.85,11.352768449837727
6.1181,18,4827.0,718.0,2471.0,716.0,33.7,-117.94,12.558492047480836
3.1538,43,782.0,207.0,827.0,223.0,34.01,-118.13,11.946660519211653
2.6268,33,2865.0,864.0,2061.0,790.0,34.14,-118.23,12.21255657932543
2.0644,24,2386.0,565.0,1058.0,414.0,41.03,-123.76,11.287291314687703
4.0,38,1059.0,218.0,561.0,205.0,33.86,-118.33,12.423604480576804
2.7574,33,1379.0,273.0,884.0,229.0,34.06,-117.47,11.736077016252436
6.1359,28,67.0,15.0,49.0,11.0,33.82,-118.36,12.706850963741102
2.1875,49,32.0,7.0,14.0,7.0,34.04,-118.44,12.323860125621126
2.735,26,4629.0,832.0,2902.0,816.0,38.49,-121.49,11.219909190927746
5.9114,46,1836.0,319.0,767.0,302.0,37.72,-122.47,12.896719202134523
1.6089,19,460.0,241.0,890.0,229.0,34.04,-118.28,11.998439434579147
4.071,2,2701.0,530.0,1368.0,430.0,34.55,-118.01,11.83065893676428
3.0819,32,2830.0,645.0,1500.0,527.0,34.1,-118.08,12.276535769000125
2.6985,16,1269.0,282.0,1609.0,298.0,32.57,-117.06,11.960817678718287
3.4031,15,4885.0,988.0,2175.0,924.0,38.3,-122.47,12.252483791602629
1.7301,7,2063.0,670.0,1892.0,643.0,34.15,-118.24,12.217511966297351
7.7042,32,10445.0,1620.0,4474.0,1576.0,33.79,-118.38,13.122367377396328
6.3303,16,3746.0,508.0,1556.0,452.0,34.17,-118.94,12.609539090975447
3.1944,29,2051.0,351.0,915.0,343.0,36.22,-119.35,11.578722568760275
10.0743,50,1975.0,245.0,644.0,251.0,37.56,-122.33,13.122367377396328
3.8203,11,2366.0,398.0,1046.0,387.0,38.02,-120.31,11.847259703415569
1.808,26,1625.0,440.0,533.0,414.0,33.76,-118.09,10.97679912709094
2.75,52,1394.0,395.0,1700.0,400.0,37.8,-122.41,12.036475785297062
5.1695,36,3228.0,543.0,1305.0,520.0,33.99,-118.37,12.891694078557842
5.25,35,793.0,128.0,589.0,137.0,33.84,-117.97,12.15583668670316
4.5399,52,2802.0,622.0,954.0,572.0,37.8,-122.43,13.122367377396328
2.6487,13,2937.0,698.0,1246.0,579.0,33.16,-117.21,12.185875040240456
3.1167,20,3495.0,818.0,2186.0,772.0,36.96,-121.98,12.461880850543723
10.4498,11,4508.0,618.0,1993.0,573.0,33.72,-117.76,12.863854272251563
2.07,30,3643.0,1197.0,4336.0,1163.0,34.1,-118.2,11.9479558477909
3.1083,40,1444.0,312.0,881.0,303.0,34.04,-118.13,12.303657509006149
4.5521,35,1724.0,419.0,1079.0,394.0,33.99,-118.42,12.482950310008736
5.7705,25,3715.0,575.0,1640.0,572.0,33.78,-118.04,12.41755243891307
6.4894,16,2495.0,331.0,1118.0,338.0,38.37,-122.02,12.19602736016897
2.9491,49,1393.0,290.0,605.0,282.0,34.16,-118.28,12.4583904591405
2.7483,28,4164.0,1127.0,2934.0,1014.0,34.09,-118.14,12.295917919903433
3.3699,22,8259.0,1409.0,845.0,353.0,39.2,-120.22,12.404927602627597
5.8948,52,1757.0,246.0,585.0,227.0,37.83,-122.24,13.0341898708582
3.3431,20,2745.0,504.0,1421.0,430.0,39.32,-123.11,11.83138646878959
2.7321,8,4019.0,857.0,1959.0,782.0,37.81,-121.19,12.07254696717504
2.945,52,1479.0,360.0,652.0,346.0,34.08,-118.38,12.974793330968811
2.2292,32,2352.0,477.0,1316.0,447.0,39.94,-122.17,10.957817003758691
3.1439,24,1297.0,297.0,441.0,282.0,37.4,-122.01,10.768506042432708
1.6277,48,2434.0,744.0,1281.0,662.0,38.58,-121.48,11.853681370708944
2.375,46,66.0,11.0,30.0,12.0,37.63,-122.42,12.524530013005734
4.8125,34,2185.0,372.0,986.0,347.0,34.19,-118.56,12.493883459694384
3.5,46,679.0,159.0,382.0,143.0,34.27,-119.25,12.30682706941576
3.0755,32,3888.0,827.0,3868.0,841.0,32.77,-117.06,12.02455676409265
2.1111,14,2443.0,447.0,883.0,465.0,34.5,-117.31,11.667370387218226
7.7112,42,1253.0,225.0,492.0,224.0,34.14,-118.38,12.865407063576011
3.6611,29,1996.0,489.0,960.0,449.0,34.01,-118.42,12.74898106804298
4.4375,43,828.0,151.0,446.0,145.0,37.3,-121.91,12.699551683459443
3.6937,33,1503.0,282.0,652.0,229.0,38.64,-121.39,11.505910920476012
8.7397,19,1397.0,271.0,491.0,197.0,33.71,-118.09,13.122367377396328
5.5184,25,2786.0,470.0,1669.0,462.0,34.44,-119.89,12.499864763577849
5.0323,30,2260.0,374.0,958.0,359.0,38.35,-122.76,12.312237337751334
3.5909,52,2245.0,425.0,1091.0,409.0,37.76,-122.49,12.710480720812354
4.5221,36,806.0,147.0,446.0,153.0,34.11,-117.89,11.927026509139932
4.875,36,1408.0,250.0,702.0,251.0,33.83,-118.1,12.312686874960354
1.745,39,1836.0,352.0,883.0,337.0,40.79,-124.18,11.163382173096926
3.6761,18,3197.0,809.0,1894.0,726.0,33.82,-117.89,11.852969885168331
3.0536,49,898.0,244.0,779.0,245.0,37.78,-122.21,11.83138646878959
1.8235,40,1227.0,294.0,928.0,261.0,37.75,-122.16,11.46374572492597
2.1773,17,2020.0,534.0,1529.0,500.0,32.59,-117.11,11.872004516724523
4.2443,34,2271.0,437.0,1393.0,433.0,33.92,-117.93,12.069112524385533
4.5294,18,2947.0,559.0,1820.0,551.0,33.82,-118.0,12.322970845390357
2.5301,24,1395.0,396.0,1478.0,404.0,33.64,-117.93,12.16993238291356
3.7143,32,1893.0,431.0,2245.0,426.0,33.75,-117.9,12.001511614739403
2.4412,30,1061.0,230.0,851.0,195.0,37.92,-121.28,11.02843338315608
2.9388,37,2263.0,502.0,1677.0,522.0,34.08,-117.76,11.843674210764698
3.6742,24,3983.0,1126.0,2645.0,1072.0,37.4,-122.09,12.524530013005734
4.0508,27,1712.0,325.0,1036.0,345.0,33.76,-117.97,12.12215284831553
5.2083,36,2870.0,529.0,1371.0,565.0,34.11,-118.22,12.305469916333228
2.1357,28,1072.0,331.0,692.0,321.0,32.8,-117.24,12.141539457711714
3.4609,14,3545.0,702.0,946.0,411.0,38.48,-120.56,11.70272730786727
5.1529,32,3568.0,591.0,1741.0,563.0,34.19,-118.63,12.466901115884776
2.4375,20,2587.0,547.0,1534.0,540.0,36.93,-121.77,12.15688765342645
2.4367,15,3927.0,1018.0,2204.0,977.0,32.8,-116.97,11.620891583095712
5.583,27,4566.0,620.0,2045.0,664.0,33.94,-117.92,12.497625965026309
2.5556,20,1201.0,282.0,601.0,234.0,37.08,-122.25,12.086731521684555
3.0465,43,2527.0,619.0,1332.0,558.0,37.76,-122.51,12.521616693076714
6.1089,38,1938.0,301.0,823.0,285.0,38.31,-122.24,12.545401512381012
2.0,52,1718.0,354.0,1026.0,312.0,34.0,-118.3,11.759793355371237
2.425,17,3667.0,1209.0,2636.0,1054.0,34.21,-118.43,12.075400019877522
6.9133,8,2032.0,349.0,862.0,340.0,33.68,-117.8,12.52125193058776
1.6557,10,1711.0,499.0,1896.0,443.0,33.64,-116.15,11.088292827848267
4.1339,34,1797.0,363.0,948.0,363.0,34.26,-118.31,12.140472227446224
2.5473,16,2717.0,621.0,3343.0,643.0,38.02,-121.3,11.574029971623514
2.1875,22,569.0,132.0,542.0,125.0,36.93,-121.67,12.141539457711714
2.694,28,3025.0,756.0,1328.0,695.0,32.76,-117.14,12.008237370904832
3.2661,30,5201.0,1104.0,2961.0,1064.0,32.79,-117.18,11.852257893055606
7.6877,21,10093.0,1269.0,3645.0,1219.0,37.91,-122.01,12.815025386894042
2.5707,17,5481.0,1618.0,2957.0,1537.0,32.78,-117.03,12.051177522006787
5.145,19,6206.0,1611.0,2455.0,1472.0,33.83,-118.43,12.94848844720934
4.0167,5,1131.0,276.0,520.0,232.0,35.65,-117.69,11.37940550085183
1.5195,42,1951.0,846.0,2500.0,813.0,34.09,-118.31,12.293171935322029
4.69,36,1089.0,182.0,535.0,170.0,37.25,-121.93,12.439566447718878
3.6286,52,1437.0,298.0,836.0,257.0,36.63,-121.62,12.016732516077072
3.9063,32,1578.0,284.0,836.0,292.0,37.64,-122.09,12.123782831670258
5.8305,24,3344.0,531.0,1768.0,541.0,37.25,-121.82,12.411463546908074
3.2368,44,1153.0,238.0,657.0,219.0,36.98,-122.02,12.26670197321789
2.3125,29,994.0,226.0,302.0,117.0,38.76,-122.68,11.12580604097884
3.975,32,1819.0,375.0,1728.0,375.0,34.03,-117.92,11.997823864326223
5.8461,34,1290.0,203.0,664.0,204.0,33.81,-117.94,12.334470257826284
5.112,29,3250.0,521.0,1382.0,513.0,34.06,-117.91,12.293630123379582
3.996,36,1896.0,315.0,937.0,303.0,35.41,-118.97,11.356283350762888
3.017,19,2429.0,459.0,883.0,300.0,38.86,-120.02,11.488643018250334
4.425,16,6123.0,1989.0,2853.0,1789.0,33.85,-118.41,12.726059179728116
6.7613,29,2787.0,475.0,1182.0,444.0,33.86,-118.38,12.773375951490893
2.4286,33,993.0,186.0,556.0,175.0,37.34,-120.3,11.548302261270589
5.0,31,5454.0,1053.0,1408.0,504.0,34.22,-117.21,11.989786776470444
2.4459,40,2227.0,594.0,2244.0,580.0,33.94,-118.21,11.876185678347824
3.1205,16,1689.0,499.0,1260.0,453.0,33.87,-117.99,12.066816325306588
2.9714,37,2622.0,652.0,2778.0,644.0,33.96,-118.05,11.984808576881369
6.2944,33,2774.0,428.0,1229.0,407.0,33.76,-117.82,12.48975046163757
7.1193,2,582.0,70.0,199.0,64.0,33.81,-117.76,13.122367377396328
2.5737,30,2427.0,482.0,1375.0,518.0,36.77,-119.74,11.250274159310356
1.6156,45,1140.0,310.0,840.0,339.0,32.72,-117.14,11.959538914341756
3.7708,42,1627.0,336.0,848.0,316.0,37.95,-122.33,11.88173350431221
5.7133,13,3243.0,488.0,1585.0,480.0,38.7,-121.24,12.02455676409265
3.225,46,3232.0,835.0,1373.0,747.0,37.81,-122.25,12.295917919903433
2.3768,18,2453.0,537.0,1503.0,500.0,34.07,-117.43,11.464795582766676
7.2074,3,8240.0,1410.0,3318.0,1270.0,33.73,-117.79,12.582112375828691
1.4815,52,2424.0,528.0,1171.0,455.0,34.13,-117.29,11.26319406874692
2.5667,21,1435.0,294.0,668.0,267.0,38.41,-120.54,11.256754979390998
1.4886,52,248.0,68.0,124.0,51.0,37.76,-122.38,13.017005083966255
4.53,22,5290.0,1054.0,2812.0,1021.0,33.83,-118.06,12.33006304226254
2.8942,26,3114.0,686.0,1948.0,660.0,32.73,-117.09,11.72885102917796
3.5812,12,4436.0,1133.0,2176.0,1002.0,33.78,-118.15,12.19905306582726
3.3558,29,1475.0,349.0,965.0,370.0,33.92,-118.34,12.20407565286699
3.6974,10,4292.0,1075.0,2719.0,987.0,34.18,-118.29,12.565846283553652
1.825,37,1220.0,325.0,1472.0,323.0,32.71,-117.13,11.308370569092329
3.075,13,3297.0,662.0,267.0,97.0,38.31,-120.27,11.592669666556796
3.1149,45,2151.0,643.0,1047.0,579.0,33.77,-118.17,12.295917919903433
4.375,34,707.0,159.0,381.0,156.0,37.6,-122.39,12.739347391533247
4.5135,15,4209.0,680.0,1914.0,641.0,32.72,-116.98,11.972253562968543
4.375,11,1875.0,357.0,1014.0,386.0,32.68,-117.04,11.652696102959752
4.0208,28,1347.0,241.0,713.0,225.0,37.84,-121.23,11.955692780409043
3.3839,36,1248.0,221.0,672.0,222.0,38.26,-122.06,11.570259974415547
